Gaia16ade
#Date,JD,averagemag.
2014-08-23 23:37:56,2456893.485,null
2014-08-24 01:24:39,2456893.559,null
2014-08-24 05:38:22,2456893.735,null
2014-08-24 07:24:35,2456893.809,null
2014-12-24 17:55:17,2457016.247,null
2014-12-24 22:08:31,2457016.423,null
2015-01-23 21:44:52,2457046.406,null
2015-01-23 23:31:38,2457046.480,null
2015-02-11 21:48:46,2457065.409,null
2015-02-11 23:35:28,2457065.483,null
2015-08-03 00:06:29,2457237.505,null
2015-08-19 10:25:19,2457253.934,null
2015-08-19 12:12:10,2457254.008,null
2015-08-19 16:25:30,2457254.184,null
2015-08-19 18:11:58,2457254.258,null
2016-02-08 16:52:15,2457427.203,18.51
2016-02-08 18:38:49,2457427.277,18.49

